推薦年度,適讀年齡,經典好書,書名,作者,繪者,譯者,出版社,出版日期(西元),出版日期(民國),本土/翻譯,屬性分類,ISBN,定價
111,3~5歲,,坐在世界的一角,布蘭登・溫佐,布蘭登・溫佐,宋珮,拾光工作室,2020-01-01,109.01,翻譯,認知探索、美感,9789869685184,450
111,0~3歲,,你來幫幫我，我來幫幫你！,金福泰,金福泰,林玗潔,小魯文化,2020-01-01,109.01,翻譯,社會情緒,9789862119877,280
110/112,3~5歲,,生氣的亞瑟,海文．歐瑞,喜多村惠,柯倩華,,2020-01-01,109-01,翻譯,社會情緒,9789864799121,
110/112,3~5歲,,海浪,蘇西・李,蘇西・李,吳文君,,2020-01-01,109-01,翻譯,"認知探索,美感",9789865406462,
110/111/112,0~3歲,是,寶寶喜歡吃,李瑾倫,李瑾倫,,信誼基金,2020-01-01,109.01,本土,認知探索、生活自理、身體動作,9789861616063,280
110,3~5歲,,國王陛下回來前的100秒！,柏原佳世子,柏原佳世子,林宜柔,,2020-01-01,109-01,翻譯,語言溝通,9789579077767,
110,3~5歲,,老鼠牙醫──地嗖頭,威廉‧史塔克,威廉‧史塔克,孫晴峰,,2020-01-01,109-01,翻譯,"生活自理,健康與安全",9789577626615,
110,3~5歲,,想念，不再傷心,布萊恩利斯,布萊恩利斯,何儀,,2020-01-01,109-01,翻譯,社會情緒,4713269121749,
110/112/113,0~3歲,是,寶寶不想睡,李瑾倫,李瑾倫,,信誼基金,2020-01-01,109-01,本土,社會情緒,9789861616070,280
113,3~5歲,,我愛新衣服,石麗蓉,石麗蓉,,小兵出版,2020-01-01,109-01,本土,社會情緒、語言溝通、認知探索,9789579047548 ,280
110/111/114,0~3歲,是,蛙弟穿衣服,強納森．倫頓（Jonathan London）,法蘭克．倫奇維滋（Frank Remkiewicz）,張淑瓊,拾光工作室,2020-01-01,109/01,翻譯,身體動作、生活自理、語言溝通,9789869685160,300
111,3~5歲,,還差一點 還差一點,木村裕一,高畠純,林宜和,上誼文化,2019-12-01,108.12,翻譯,身體動作、社會情緒,9789577626653,280
111,3~5歲,,胡利安是隻美人魚,潔西卡．洛夫,潔西卡．洛夫,陳思宏,三民書局,2019-12-01,108.12,翻譯,社會情緒、語言溝通,9789571466927,329
109,3~5歲,,夢遊,顏志豪,薛慧瑩,,巴巴文化,2019-12-01,108-12,翻譯,認知探索,9789869743785,350
109/110,0~3歲,,交通工具：小玩具大驚奇,芭露吉,芭露吉,王欣榆,,2019-12-01,108-12,翻譯,認知探索,9789861899473,320
110,0~3歲,,手指變魔術,芭露吉,芭露吉,張政婷,,2019-12-01,108-12,翻譯,"身體動作,認知探索",9789861899374,
113,3~5歲,,最可怕的一天（新版）,湯姆牛,湯姆牛,,遠見天下文化(小天下),2019-12-01,108-12,本土,社會情緒、語言溝通、認知探索,9789864798674 ,350
111/112,3~5歲,,千千萬萬個聖誕老公公,母袋裕子,瑪麗卡．邁亞拉,羅凡怡,野人文化,2019-11-01,108.11,翻譯,認知探索、美感,9789863843931,350
109,0~3歲,,小熊在哪裡？,kiki,許匡匡,,中華民國聾人協會,2019-11-01,108-11,翻譯,"認知探索,語言溝通",9789869840002,380
109,3~5歲,,黑漆漆的夜晚,愛蜜莉‧蘭德,愛蜜莉‧蘭德,黃聿君,,2019-10-01,108-10,翻譯,美感,9789865876746,300
109/112/113,3~5歲,是,城市裡的小訪客,席尼・史密斯,席尼・史密斯,宋珮,拾光工作室,2019-10-01,108-10,翻譯,"社會情緒,語言溝通,美感",9789869685146,360
112/113,3~5歲,,寶貝，該睡覺了……,麥克．巴奈特,伊莎貝爾．阿瑟諾,游珮芸,親子天下,2019-09-01,108-09,翻譯,社會情緒,9789575033880,320
112,0~3歲,,找找貓咪和老鼠,米亞芙尼,米亞芙尼,周婉湘,小果文創,2019-09-01,10809,翻譯,,9789869702157,340
111/113,0~3歲,,大家都會畫畫,郭飛飛,郭飛飛,郭飛飛,阿布拉教育文化,2019-09-01,108-09,本土,美感,9789865876715,320
110,3~5歲,,小羊睡不著,喜多村惠,喜多村惠,劉清彥,三之三文化,2019-09-01,108-09,翻譯,"認知探索,生活自理",9789865664435,
109/111/112,0~3歲,是,小可可愛打嗝,竹下文子,岡田千晶,游珮芸,上誼文化,2019-09-01,108.09,翻譯,生活自理、健康與安全,9789577626622,250
109/110/111,0~3歲,是,慢慢的小樹懶,大村知子,大村知子,游珮芸,上誼文化,2019-09-01,108.09,翻譯,認知探索、身體動作,9789577626639,280
